"","Charges"
"68","VOP/INDECENT EXPOSURE IN PUBLIC"
"69","OUT-OF-COUNTY WARRANT/CASE#18-015-"
"70","CF/BURGLARY F.A.R"
"71","FTA/DRIVING WHILE LICENSE SUSPENDED"
"72","OR REVOKED"
"73","IN CONTEMPT- WHS- PURGE OF $500 OR 30"
"74","DAYS/RUFF/CARROLL"
"75","WRIT-WHS $1000 OR 60 DAYS LCJ"
"76","DOR/RUFF/CARROLL"
"77","OUT-OF-COUNTY WARRANT/ WAKULLA"
"78","COUNTY/CASE #1400102, 1401003/VOP SALE"
"79","OF CONTROLLED SUBSTANCE"
"80","OUT-OF-COUNTY WARRANT/WAKULLA"
"81","COUNTY"
"82","WARRANT/CASE#1400104/VOP/POSS OF A"
"83","CONTROLLED SUBSTANCE"
"84","VOP/GRAND THEFT"
"85","FTA/PETIT THEFT"
"86","PETIT THEFT 2ND OFF"
"87","DRUGS-POSSESS POSSESS"
"88","METHAMPHETAMINE"
"89","NARCOTIC EQUIP-POSSESS AND OR USE"
"90","HOLD FOR DOC/CALHOUN CI"
"91","BATTERY COMMIT DOMESTIC BATTERY BY"
"92","STRANGULATION"
"93","BURGL WITH ASSAULT OR BATTERY"
"94","DAMAGE PROP-CRIM MISCH OVER 200"
"95","DOLLARS UNDER 1000 DOLLARS"
"96","HOLD FOR DOC/ HOLMES CI"
"97","DOMV/BATTERY TOUCH OR STRIKE"
"98","FTA/POSSESSION OF FRAUDULENT DRIVER'S"
"99","LICENSE"
"100","FTA/RESISTING OFFICER WITHOUT"
"101","VIOLENCE"
"102","FTA/DRIVING WHILE LICENSE SUSPENDED"
"103","OR REVOKED"
"104","BATTERY ON OFFICER FIREFIGHTER EMT ETC"
"105","RESIST OFFICER WITH VIOLENCE"
"106","DRUGS-POSSESS POSSESS"
"107","METHAMPHETAMINE"
"108","NARCOTIC EQUIP-POSSESS AND OR USE"
"109","SMUGGLE CONTRABAND INTRODUCE INTO"
"110","DETENTION FACILITY"
"111","TRESPASSING PROPERTY NOT STRUCTURE"
"112","OR CONVEY"
"113","BATTERY 2ND OR SUBSQ OFF"
"114","KIDNAP-FALSE IMPRISONMENT ADULT"
"115","WRIT-WHS $6000 OR 60 DAYS LCJ"
"116","PEDROSO/FITZPATRICK"
"117","DOMV/BATTERY CAUSE BODILY HARM"
"118","DUI-UNLAW BLD ALCH DUI ALCOHOL OR"
"119","DRUGS"
"120","HOLD FOR DOC/FRANKLIN CI"
"121","SEX OFFENSE-AGAINST CHILD-FONDLING"
"122","VICTIM 12 YOA UP TO 16 YOA"
"123","TRESPASSING FAIL TO LEAVE PROPERTY"
"124","UPON ORDER BY OWNER"
"125","PASSING WORTHLESS BANK CHECK"
"126","NARCOTIC EQUIP-POSSESS AND OR USE"
"127","ORDER TO SHOW CAUSE/MARCHMAN"
"128","ACT/AIKENS"
"129","OUT-OF-COUNTY WARRANT/GADSDEN"
"130","COUNTY CASE NO. 2008DR1164"
"131","LOITERING OR PROWLING"
"132","VOP/FTA/GRAND THEFT - THIRD DEGREE"
"133","($100 TO $300 VALUE FROM DWELLING OR"
"134","CURTILAGE)"
"135","VOP/FTA/DEALING IN STOLEN PROPERTY"
"136","VOP/FTA/DEFRAUDING A PAWNBROKER"
"137","POSSESSION OF FIREARM BY CONVICTED"
"138","FELON"
"139","GRAND THEFT OF FIREARM"
"140","NONMOVING TRAFFIC VIOL ATTACH"
"141","REGISTRATION LICENSE PLATE NOT"
"142","ASSIGNED"
"143","MOVING TRAFFIC VIOL KNOWINGLY DRIVE"
"144","WHILE LICE SUSPENDED REVOKED"
"145","DRUGS-SELL SELL METHAMPHETAMINE"
"146","NARCOTIC EQUIP-POSSESS AND OR USE"
"147","DRUGS MANUFACTURE DISTRIB SELL ETC"
"148","IMITATION DRUGS"
"149","CARRYING CONCEALED WEAPON"
"150","UNLICENSED FIREARM"
"151","MARIJUANA-POSSESS NOT MORE THAN 20"
"152","GRAMS"
"153","NARCOTIC EQUIP-POSSESS AND OR USE"
"154","GRAND THEFT OF  MOTOR VEHICLE"
"155","HOLD FOR PASCO CO/ CASE #"
"156","2017CF00329OCFAXES/ GRAND THEFT 300"
"157","LESS THAN 5K"
"158","HOLD FOR DOC/ NWFRC ANNEX/ DOC #"
"159","D58335"
"160","POSSESSION OF COCAINE WITH INTENT TO"
"161","SELL OR DELIVER"
"162","POSSESSION OF CANNABIS WITH INTENT TO"
"163","SELL"
"164","HOLD FOR DOC/ GRACEVILLE CI/ DOC #"
"165","522975 E.O.S 01/13/18"
"166","FTA/SOLICITING ON ROADWAY"
"167","POSSESSION OF WEAPON OR AMMO BY"
"168","CONVICTED FLORIDA FELON"
"169","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"170","VOP/POSSESSION OF ALPRAZOLAM"
"171","WRIT-WHS $800 OR 60 DAYS LCJ"
"172","DOR/RUFF/FRANCIS"
"173","DOC HOLD/ BAY CF/ DOC # N23991"
"174","SALE OF HEROIN"
"175","DOC HOLD/ BAY CF/ DOC # N23991"
"176","SALE OF HEROIN"
"177","WRIT-WHS $5000 OR 150 DAYS LCJ"
"178","WALL/FRANCIS"
"179","AMPHETAMINE-TRAFFIC OR"
"180","METHAMPHETAMINE 14 GRAMS OR OVER"
"181","AGGRAV ASSAULT  W DEADLY WEAPON"
"182","WITHOUT INTENT TO KILL"
"183","FLEE/ELUDE POLICE AGGRAVATED FLEEING"
"184","W INJURY OR DAMAGE"
"185","MARIJUANA-POSSESS NOT MORE THAN 20"
"186","GRAMS"
"187","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"188","SUSP HABITUTAL"
"189","NARCOTIC EQUIP-POSSESS AND OR USE"
"190","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"191","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"192","WITHOUT PRESCRIPTION"
"193","VOP/DRIVING UNDER THE INFLUENCE WITH"
"194","BREATH ALCOHOL OF .15 OR HIGHER"
"195","VOP/AGGRAVATED ASSAULT WITH DEADLY"
"196","WEAPON"
"197","OBSTRUCT CRIMINAL INVEST FALSE INFO TO"
"198","LEO RE MISSING PERSON OR FELONY"
"199","VOP/POSSESSION OF CONTROLLED"
"200","SUBSTANCE"
"201","VOP/CARRYING A CONCEALED FIREARM"
"202","AGGRAVATED ASSAULT WITH DEADLY"
"203","WEAPON"
"204","RESISTING OFFICER WITH VIOLENCE"
"205","INDECENT EXPOSURE"
"206","DRUGS-SELL SELL METHAMPHETAMINE"
"207","POSSESSION OF WEAPON OR AMMO BY"
"208","CONVICTED FLORIDA FELON"
"209","NARCOTIC EQUIP-POSSESS AND OR USE"
"210","VOP/FELONY DOMESTIC BATTERY"
"211","FTA/PETIT THEFT"
"212","OUT-OF-WAKULLA COUNTY WARRANT/ CASE"
"213","# 1500211/ VOP-AGG BATT WITH HARM"
"214","VOP/AGGRAV BATTERY CAUSE BODILY HARM"
"215","OR DISABILITY"
"216","BATTERY ON LAW ENFORCEMENT OFFICER"
"217","RESISTING OFFICER WITHOUT VIOLENCE"
"218","SALE OR POSSESSION OF CONTROLLED"
"219","SUBSTANCE WITH INTENT TO SELL WITHIN"
"220","1,000 FEET OF CHURCH"
"221","FTA/POSSESSION OF METHAMPHETAMINE"
"222","FTA/POSSESSION OF CANNABIS"
"223","FTA/POSSESSION OF PARAPHERNALIA"
"224","VOP/CRIMINAL MISCHIEF"
"225","TRESPASSING ARMED STRUCTURE OR"
"226","CONVEYANCE"
"227","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"228","VOP/FELONY BATTERY"
"229","VOP/FALSE IMPRISONMENT"
"230","VOP/DISORDERLY CONDUCT"
"231","HOLD DOC/ SOUTH FLORIDA RECEPTION"
"232","CENTER"
"233","VOP/AGGRAVATED BATTERY WITH DEADLY"
"234","WEAPON"
"235","VOP/TRAFFICKING IN CONTROLLED"
"236","SUBSTANCE"
"237","VOP/UNLAWFUL POSSESSION OF LISTED"
"238","CHEMICAL"
"239","VOP/POSSESSION OF CONTROLLED"
"240","SUBSTANCE WITH INTENT TO SELL,"
"241","DELIVER, OR MANUFACTURE"
"242","VOP/CARRYING A CONCEALED FIREARM"
"243","GRAND THEFT OF  MOTOR VEHICLE"
"244","OUT-OF-ALACHUA COUNTY WARRANT/CASE"
"245","# 012013MM001586A/ FTA-CRIM MISCH"
"246","FTA/PETIT THEFT 1ST DEGREE PROPERTY"
"247","100 TO UND 300 DOLS"
"248","GRAND THEFT OF MOTOR VEHICLE/VOP"
"249","UTTERING/VOP"
"250","GRAND THEFT/VOP"
"251","FTA/PASSING WORTHLESS BANK CHECK"
"252","CONDIT RELEASE VIOLATION PRE TRIAL"
"253","RELEASE COND VIOL FOR DOMEST VIOL"
"254","OUT-OF-JACKSONVILLE SO WARRANT/CASE"
"255","# C1480927/WRIT OF ATTACH"
"256","OUT-OF-JACKSONVILLE SO WARRANT/CASE"
"257","# C14519384//WRIT OF ATTACH"
"258","VOP/FTA/RESISTING OFFICER WITHOUT"
"259","VIOLENCE"
"260","VOP/FTA/DOMESTIC BATTERY"
"261","AGGRAVATED ASSAULT WITH FIREARM"
"262","VOP/GRAND THEFT (OVER $20,000)"
"263","VOP/SCHEME TO DEFRAUD"
"264","GRAND THEFT OF  MOTOR VEHICLE"
"265","MOVING TRAFFIC VIOL OPERATE MOTOR"
"266","VEHICLE WO VALID LICENSE"
"267","GRAND THEFT OF  MOTOR VEHICLE"
"268","CARRYING CONCEALED WEAPON"
"269","UNLICENSED FIREARM"
"270","POSSESSION OF WEAPON OR AMMO BY"
"271","FLORIDA DELINQUENT ADULT FELONY"
"272","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"273","SUSP 3RD OR SUBSQ OFF"
"274","AGGRAVATED ASSAULT WITH FIREARM"
"275","POSSESSION OF FIREARM BY CONVICTED"
"276","FELON"
"277","LEAVING THE SCENE OF A CRASH WITH"
"278","DAMAGE TO UNATTENDED VEHICLE"
"279","STALKING SEXUALLY CYBERHARASSS"
"280","ANOTHER PERSON"
"281","OUT-OF-COUNTY WARRANT////WAKULLA"
"282","CO.CASE#17OFF002688//DOMESTIC"
"283","VIOL/INJUNCTION VIOLATION//NO BOND"
"284","OUT-OF-COUNTY WARRANT//GADSDEN"
"285","CO./CASE#2003DR1620 /CHILD"
"286","SUPPORT//BND: 1200 OR 5 MTHS AND 29"
"287","DAYS"
"288","MOVING TRAFFIC VIOL OPERATE MOTOR"
"289","VEHICLE WO VALID LICENSE"
"290","MARIJUANA-POSSESS NOT MORE THAN 20"
"291","GRAMS"
"292","NARCOTIC EQUIP-POSSESS AND OR USE"
"293","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"294","WITHOUT PRESCRIPTION"
"295","MARIJUANA-POSSESS NOT MORE THAN 20"
"296","GRAMS"
"297","NARCOTIC EQUIP-POSSESS AND OR USE"
"298","RESIST OFFICER FAIL TO OBEY POLICE OR"
"299","FIRE DEPARTMENT"
"300","PETIT THEFT THIRD OR SUBSQ OFF"
"301","LARC RESIST ARREST COMM THEFT RESIST"
"302","RECOV OF PROP"
"303","VOP/GRAND THEFT OF MOTOR VEHICLE"
"304","VOP/GRAND THEFT"
"305","VOP/DEALING IN STOLEN PROPERTY"
"306","VOP/DEFRAUDING A PAWNBROKER"
"307","PETIT THEFT 1ST OFF"
"308","FRAUD-SWINDLE DEFRAUD INNKEEPER 300"
"309","DOLLARS OR MORE"
"310","VOP/POSSESSION OF CONTROLLED"
"311","SUBSTANCE"
"312","POSSESSION OF METHAMPHETAMINE"
"313","POSSESSION OF CANNABIS"
"314","POSSESSION OF PARAPHERNALIA"
"315","DRIVING WHILE LICENSE SUSPENDED OR"
"316","REVOKED"
"317","ROBBERY"
"318","OFFENSE AGAINST USER OF COMPUTER"
"319","GRAND THEFT IS $300 OR MORE BUT LESS"
"320","THAN $5000"
"321","CONSERVATION-ANIMALS CAUSE CRUEL"
"322","DEATH PAIN AND SUFFERING"
"323","DISORD CONDUCT AFFRAY"
"324","VOP/FTA/UTTERING"
"325","FTA/MOVING TRAFFIC VIOL OPERATE MOTOR"
"326","VEHICLE WO VALID LICENSE"
"327","CONSERVATION-ANIMALS CAUSE CRUEL"
"328","DEATH PAIN AND SUFFERING"
"329","MARIJUANA-SELL SCHEDULE I"
"330","FTA/CRUELTY TO ANIMAL"
"331","BATTERY ON LAW ENFORCEMENT OFFICER"
"332","TRANSPORT FAVOR/ PASCO CO/ CASE CF-288"
"333","DOC HOLD AND RETURN/ JACKSON CI/ DOC"
"334","# X98001"
"335","VOP/RECKLESS DRIVING 1ST OFF"
"336","OUT-OF-GULF COUNTY WARRANT/ CASE # 17"
"337","-64CF/ POSS OF CONTROLLED SUB"
"338","OUT-OF-GULF COUNTY WARRANT/CASE #"
"339","1764CF/ POSS OF PARAPHERNELIA"
"340","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"341","SUSP 3RD OR SUBSQ OFF"
"342","BATTERY 2ND OR SUBSQ OFF"
"343","KIDNAP-FALSE IMPRISONMENT ADULT"
"344","WAKULLA-COUNTY WARRANT/VOP"
"345","ASSAULT/CASE# 1400126"
"346","FTA/PETIT THEFT"
"347","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"348","MARIJUANA-POSSESS NOT MORE THAN 20"
"349","GRAMS"
"350","FTA/PETIT THEFT 1ST OFF"
"351","VOP/DRIVING WHILE LICENSE REVOKED"
"352","(HABITUAL OFFENDER)"
"353","VOP/POSSESSION OF METHAMPHETAMINE"
"354","FTA/PETIT THEFT (VALUE GREATER THAN"
"355","$100)"
"356","AGGRAV BATTERY OFFENDR KNEW/SHOULD"
"357","HAVE KNOWN VICT PREGNANT"
"358","COCAINE-POSSESS POSSESS COCAINE"
"359","MARIJUANA-POSSESS NOT MORE THAN 20"
"360","GRAMS"
"361","NARCOTIC EQUIP-POSSESS AND OR USE"
"362","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"363","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"364","SUSP 2ND OFF"
"365","AGGRAV ASSAULT  W DEADLY WEAPON"
"366","WITHOUT INTENT TO KILL"
"367","HOLD AND RETURN TO DOC/ GULF CI/ DOC"
"368","# N24970"
"369","ATTEMPTED MURDER - SECOND DEGREE"
"370","POSSESSION OF FIREARM BY CONVICTED"
"371","FELON"
"372","SHOOTING INTO OR WITHIN BUILDING"
"373","HOLD AND RETURN TO DOC/ GULF CI/ DOC"
"374","# N24970"
"375","ATTEMPTED MURDER - SECOND DEGREE"
"376","POSSESSION OF FIREARM BY CONVICTED"
"377","FELON"
"378","SHOOTING INTO OR WITHIN BUILDING"
"379","VIOLATION OF DOMESTIC VIOLENCE"
"380","INJUNCTION"
"381","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"382","WITHOUT PRESCRIPTION"
"383","VOP/FELONY BATTERY (GREAT BODILY"
"384","HARM)"
"385","DRUGS-POSSESS POSSESS"
"386","METHAMPHETAMINE"
"387","NARCOTIC EQUIP-POSSESS AND OR USE"
"388","HOLD FOR MADISON CO. / CASE#15-173-CF /"
"389","VOP ARSON"
"390","HOLD FOR MADISON CO. / CASE#15-173-CF /"
"391","VOP GRAND THEFT OF MOTOR VEHICLE"
"392","VOP/DAMAGE PROP-CRIM MISCH $200 OR"
"393","LESS SUBSQ OFF"
"394","FTA/TAMPERING WITH A WITNESS"
"395","FTA/BATTERY"
"396","FTA/PETIT THEFT"
"397","OUT-OF-STATE-FUG-REF FUGITIVE FROM"
"398","JUSTICE / GRADY CO. SO, CAIRO GA. /"
"399","CASE#12R030 / VOP POSS. WITH INTENT TO"
"400","DISTRIBUTE"
"401","PETIT THEFT 2ND OFF"
"402","HOMICIDE-NEGLIG MANSL-VEH KILLING OF"
"403","PERSON VIABLE FETUS W VEH"
"404","OUT-OF-COUNTY WARRANT//GADSDEN"
"405","CO//CASE#17-461CFMA//BURGLARY// PETIT"
"406","THEFT // NO BOND"
"407","OUT-OF-COUNTY WARRANT///GADSDEN"
"408","CO//CASE#17-460//BURGLARY OF"
"409","CONVEYANCE/NO BOND"
"410","OUT-OF-COUNTY WARRANT//GADSDEN"
"411","CO//CASE#17-459CFMA//BURGLARY OF"
"412","CONVEYANCE//NO BOND"
"413","OUT-OF-COUNTY WARRANT//GADSDEN"
"414","CO.//17-458CFMA/BURGLARY OF"
"415","CONVEYANCE//NO BOND"
"416","OUT-OF-COUNTY WARRANT//GADSDEN"
"417","CO.//CASE#/17-457CFMA//BURGLARY OF"
"418","CONVEYANCE  TIMES 2// NO BOND"
"419","OUT-OF-COUNTY WARRANT//GADSDEN"
"420","CO.//CASE#17-456CFMA//BURGLARY OF"
"421","CONVEYANCE// NO BOND"
"422","BURGLARY OF CONVEYANCE"
"423","PETIT THEFT"
"424","BURGLARY OF CONVEYANCE WHILE ARMED"
"425","WITH FIREARM"
"426","GRAND THEFT OF FIREARM"
"427","GRAND THEFT"
"428","GRAND THEFT OF MOTOR VEHICLE"
"429","TRESPASS IN CONVEYANCE"
"430","MADISON-COUNTY WARRANT/VOP"
"431","DANGEROUS DRUGS/CASE#1500273"
"432","DOMESTIC///BATTERY COMMIT DOMESTIC"
"433","BATTERY BY STRANGULATION"
"434","ROBBERY NO FIREARM OR WEAPON"
"435","DOC HOLD/ CALHOUN CI/ DOC # I14369/"
"436","EOS 01/14/2018"
"437","FTA/PETIT THEFT 1ST DEGREE PROPERTY"
"438","100 TO UND 300 DOLS"
"439","HOLD AND RETURN TO FRANKLIN CO JAIL"
"440","VOP/DUI ALCOHOL OR DRUGS"
"441","VOP/DWLSR"
"442","VOP/REFUSAL TO SUBMIT TO D.U.I. TEST"
"443","AGGRAVATED ASSAULT ON LAW"
"444","ENFORCEMENT OFFICER"
"445","GRAND THEFT OF  MOTOR VEHICLE"
"446","VOP/COUNTERFEITING OR POSSESSING A"
"447","COUNTERFEIT PAYMENT INSTRUMENT"
"448","VOP/GRAND THEFT"
"449","VOP/UTTERING"
"450","MARIJUANA-POSSESS WITH INTENT TO SELL"
"451","MFG OR DELIVER SCHEDULE I"
"452","MARIJUANA-POSSESS POSSESS MARIJUANA"
"453","OVER 20 GRAMS"
"454","NARCOTIC EQUIP-POSSESS AND OR USE"
"455","OUT-OF-SANTA ROSA COUNTY"
"456","WARRANT/CASE #"
"457","GRAND THEFT OF  MOTOR VEHICLE"
"458","OUT-OF-LIBERTY COUNTY WARRANT/ CASE"
"459","#04-02-CT/ TRAFFIC OFFENSE"
"460","FTA/CRIMINAL MISCHIEF (UNDER $200"
"461","DAMAGES)"
"462","FTA/CONSPIRACY TO TAMPER WITH"
"463","PHYSICAL EVIDENCE"
"464","VOP/AGGRAVATED ASSAULT WITH FIREARM"
"465","VOP/POSSESSION OF FIREARM BY"
"466","CONVICTED FELON"
"467","VOP/POSSESSION OF CANNABIS WITH"
"468","INTENT TO SELL"
"469","AGGRAVATED ASSAULT WITH DEADLY"
"470","WEAPON"
"471","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"472","SUSP 3RD OR SUBSQ OFF"
"473","BATTERY ON OFFICER FIREFIGHTER EMT ETC"
"474","SEX ASSAULT VICTIM 12 YOA OLDER"
"475","SPECIAL CONDITIONS"
"476","AGGRAV ASSAULT  W DEADLY WEAPON"
"477","WITHOUT INTENT TO KILL"
"478","CRUELTY TOWARD CHILD AGGRAVATED"
"479","BATTERY ON CHILD"
"480","OUT-OF-WAKULLA COUNTY WARRANTCASE #"
"481","1400255/ VOP-BURG/DWELL OCCUP,"
"482","CONVEY,"
"483","OUT-OF-WAKULLA COUNTY WARRANTCASE #"
"484","1400255/ VOP-GRAND THEFT OF FA"
"485","OUT-OF-WAKULLA COUNTY WARRANTCASE #"
"486","1400255/ VOPGRAND THEFT MORE THAN 300"
"487","LESS THAN 5000"
"488","OUT-OF-WAKULLA COUNTY WARRANTCASE #"
"489","1500026/ VOP-TRAFFIC IN STOLEN PROP"
"490","OUT-OF-WAKULLA COUNTY WARRANTCASE #"
"491","1500033VOP GRAND THEFT 300 OR MORE"
"492","LESS THAN 5000 DOLLARS"
"493","OUT-OF-WAKULLA COUNTY WARRANTCASE #"
"494","1500027/BURG/DWELL/OCCUP CONVEY"
"495","OUT-OF-WAKULLA COUNTY WARRANTCASE #"
"496","1500033/ VOP GRAND THEFT OF FA"
"497","BURGL OF STRUCTURE CONVEYANCE"
"498","UNARMED WO PERS INSIDE"
"499","GRAND THEFT IS $300 OR MORE BUT LESS"
"500","THAN $5000"
"501","PETIT THEFT 1ST OFF"
"502","HOLD FOR HILLSBOROUGH CO. /"
"503","CASE#22216368 / FTA PETIT THEFT FIRST"
"504","DEGREE"
"505","VOP/DRIVING UNDER THE INFLUENCE"
"506","VOP/POSSESSION OF METHAMPHETAMINE"
"507","VOP/POSSESSION OF CANNABIS"
"508","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"509","VOP/FELONY BATTERY BY STRANGULATION"
"510","VOP/FALSE IMPRISONMENT"
"511","VOP/TAMPERING WITH A WITNESS OR"
"512","INFORMANT"
"513","VOP/CRIMINAL MISCHIEF"
"514","POSSESSION OF CONTROLLED SUBSTANCE"
"515","DRIVING WHILE LICENSE SUSPENDED OR"
"516","REVOKED"
"517","AGGRAVATED BATTERY WITH A DEADLY"
"518","WEAPON"
"519","DUI UNLAW BLD ALCH .15 OR HIGHER OR W"
"520","PERSON UNDER 18 IN VEHICLE"
"521","FTA/FRAUD-INSUFF FUNDS CHECK MAKE"
"522","UTTER ISSUE UNDER 150 DOLLARS"
"523","TRAFFICKING IN COCAINE"
"524","SALE OF CANNABIS"
"525","POSSESSION OF MORE THAN 20 GRAMS"
"526","CANNABIS WITH INTENT TO SELL"
"527","POSSESSION OF LYSERGIC-ACID"
"528","DIETHYLAMIDE (LSD) WITH INTENT TO SELL"
"529","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"530","WITHOUT PRESCRIPTION"
"531","COCAINE-POSSESS POSSESS COCAINE"
"532","NARCOTIC EQUIP-POSSESS AND OR USE"
"533","VOP/FELONY BATTERY - GREAT BODILY"
"534","HARM"
"535","WRIT-WHS $500 OR 30 DAYS LCJ"
"536","DOR/RUFF/CARROLL"
"537","DRUGS-TRAFFICPHENETHYLAMINES 10"
"538","GRAMS OR MORE"
"539","NARCOTIC EQUIP-POSSESS AND OR USE"
"540","MARIJUANA-POSSESS NOT MORE THAN 20"
"541","GRAMS"
"542","CARRYING CONCEALED WEAPON"
"543","UNLICENSED FIREARM"
"544","GRAND THEFT OF FIREARM"
"545","POSSESSION OF WEAPON OR AMMO BY"
"546","CONVICTED FLORIDA FELON"
"547","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"548","DUI UNLAW BLD ALCH .15 OR HIGHER OR W"
"549","PERSON UNDER 18 IN VEHICLE"
"550","DUI AND DAMAGE PROPERTY OR PERSON OF"
"551","ANOTHER"
"552","HIT AND RUN ACC-UNATTENDED VEH OR"
"553","PROP WO LEAVING ID"
"554","MARIJUANA-POSSESS NOT MORE THAN 20"
"555","GRAMS"
"556","FTA/POSSESSION OF CANNABIS"
"557","FTA/PETIT THEFT"
"558","VOP/GRAND THEFT"
"559","FRAUD FAIL REDELIV HIRED LEASED PROP"
"560","300 DOLS OR OVR"
"561","VOP/PASSING WORTHLESS BANK CHECK"
"562","FTA/RECKLESS DRIVING"
"563","PETIT THEFT 1ST DEGREE PROPERTY 100 TO"
"564","UND 300 DOLS"
"565","BATTERY ON OFFICER FIREFIGHTER EMT ETC"
"566","RESIST OFFICER WITH VIOLENCE"
"567","RESIST OFFICER OBSTRUCT WO VIOLENCE"
"568","RESIST OFFICER OBSTRUCT BY DISGUISED"
"569","PERSON"
"570","BATTERY TOUCH OR STRIKE"
"571","DUI UNLAW BLD ALCH .15 OR HIGHER OR W"
"572","PERSON UNDER 18 IN VEHICLE"
"573","OUT-OF-OSCEOLA COUNTY WARRANT/CASE"
"574","# 15MM2340/VOP POSS CANNA <20 GRAMS"
"575","OUT-OF-OSCEOLA COUNTY WARRANT/CASE"
"576","# 15MM2340/VOP-POSS OF DRUG PARAPHA"
"577","BURGLARY OF CONVEYANCE"
"578","FELONY BATTERY"
"579","ATTEMPTED ROBBERY"
"580","NONMOVING TRAFFIC VIOL DRIVE WHILE LIC"
"581","SUSP 3RD OR SUBSQ OFF"
"582","DRUGS-POSSESS CONTROLLED SUBSTANCE"
"583","WITHOUT PRESCRIPTION"
"584","NARCOTIC EQUIP-POSSESS AND OR USE"
"585","POSSESSION OF CONTROLLED SUBSTANCE"
